"ID","NAME","LVL","YEAR","ORGS","G","GS","IP","ERA","WOBA","FIP","BABIP","LD_RATE","GB_RATE","FB_RATE","HR_FB","BB_RATE","SO_RATE","NITRORATE","SWM","CHASERATE","EV_70"
32586,"Hill, Rich",MLB,2021,"NYM, TB",32,31,158.2,3.86,0.3165238602,4.342,0.27685,0.25,0.352679,0.301339,0.123529,0.083207,0.226929,20.800,21.300,25.200,91.39196390100803
33489,"Chavez, Jesse",MLB,2022,"ANA, ATL, CHC",45,1,54.2,3.62,0.3313515021,3.341,0.350993,0.291139,0.379747,0.265823,0.117647,0.068376,0.25641,19.800,21.100,28.300,91.8186188138586
110678239,"Mariot, Michael",AAA,2022,"DET, PHI",18,15,79.0,4.9,0.3654043605,6.047,0.266094,0.188,0.352,0.368,0.132743,0.093023,0.162791,23.000,19.400,25.600,93.28636
111815679,"Peacock, Matt",AAA,2022,"ARI, KC, TOR",21,0,25.0,5.04,0.3594690909,5.46,0.3125,0.127907,0.604651,0.244186,0.227273,0.054054,0.171171,14.100,24.600,26.100,93.72699942878666
111822093,"Benitez, Joel",Rk,2021,BAL,15,4,27.1,7.9,0.4193473684,4.755,0.378378,0.246154,0.276923,0.384615,0.066667,0.149254,0.238806,9.200,26.600,22.300,89.556401
111826927,"Herrera, Yujanyer",Rk,2021,MIL,11,4,35.0,9.0,0.4671891304,6.901,0.398148,0.217391,0.478261,0.26087,0.2,0.152174,0.201087,13.900,22.500,24.100,90.79061999999999
111821804,"Padilla, Miguel",Rk,2021,BAL,14,2,27.2,6.51,0.3915843284,4.375,0.380952,0.25,0.483333,0.15,0.25,0.103704,0.237037,11.500,27.700,26.100,91.51725100000003
111781097,"Williams, Trevor",MLB,2021,"CHC, NYM",23,15,91.0,4.35,0.3515573566,3.837,0.349442,0.265734,0.461538,0.206294,0.152778,0.076543,0.222222,21.300,21.200,30.400,91.81313529576553
110847272,"Chafin, Andrew",MLB,2021,"CHC, OAK",71,0,68.2,1.83,0.233370566,2.923,0.231638,0.189189,0.448649,0.275676,0.063492,0.071429,0.240602,13.900,24.000,35.000,91.307681
111823334,"Alcantara, Erovis",Rk-,2021,MIL,2,0,2.0,4.5,0.4108111111,7.711,0.0,0.5,0.0,0.5,1.0,0.222222,0.555556,50.000,53.800,19.200,93.27451799999996
111798536,"Carle, Shane",AAA,2021,"ARI, CIN, SEA",27,0,24.1,5.18,0.3836443396,6.642,0.295775,0.1875,0.4,0.275,0.2,0.092593,0.175926,16.900,22.700,24.000,93.355085
111817742,"Stoudt, Levi",AA,2022,"CIN, SEA",19,19,92.0,4.99,0.3302375321,4.51,0.310345,0.217391,0.413043,0.289855,0.13,0.056555,0.226221,15.900,21.800,28.800,90.980018
111833632,"Caraballo, Jan",Rk-,2022,SF,15,0,20.1,4.43,0.4327304348,4.107,0.338462,0.25,0.4,0.25,0.071429,0.152174,0.130435,7.500,28.000,32.400,89.97964999999999
111798743,"Mahle, Tyler",MLB,2022,"CIN, MIN",22,22,118.2,4.17,0.3008071283,3.847,0.27451,0.203704,0.367284,0.342593,0.110294,0.087398,0.256098,18.400,25.800,27.600,89.8699939790911
111797044,"Anderson, Tanner",AAA,2021,"OAK, PIT",29,4,51.2,4.01,0.3416303965,5.514,0.277778,0.208333,0.619048,0.154762,0.178571,0.114035,0.122807,17.400,21.100,24.800,94.716345
111792134,"Head, Louis",MLB,2022,"BAL, MIA",28,0,28.2,6.28,0.3798242647,5.169,0.321839,0.271739,0.293478,0.326087,0.102564,0.108696,0.188406,19.200,22.000,25.000,92.88674561149713
76120909,"Gibson, Kyle",MLB,2021,"PHI, TEX",31,30,182.0,3.71,0.2961437333,3.837,0.276471,0.235849,0.520755,0.183019,0.134921,0.084881,0.20557,15.100,24.600,29.100,93.74072512643885
111840387,"Aracena, Wellington",Rk-,2022,NYM,12,5,25.0,6.84,0.3877544,3.863,0.352113,0.25,0.75,0.0,,0.184,0.224,12.500,34.600,21.600,87.74240599999995
