"ID","MLBID","NAME","PITCHER_THROWS","LASTDAY","YEAR","AWAY_COMPETITION_LEVEL_ABBREV","TEAM","PITCHES"
"111828808",693750,"Rodriguez, Yerlin",R,2022-08-22,2022,Rk,MIL,465
"110294536",572383,"Moran, Brian",L,2022-08-31,2022,AAA,ANA,770
"111841015",805096,"Espinoza, Eiver",R,2022-08-23,2022,Rk-,MIA,334
"111816373",678581,"Seijas, Karlo",R,2022-07-29,2022,Rk,WAS,235
"111801058",663678,"Eastman, Colton",R,2022-07-30,2022,AA,PHI,747
"111840557",800450,"Taveras, Ledwin",R,2022-08-19,2022,Rk-,MIN,522
"111808203",669467,"Pallante, Andre",R,2022-08-31,2022,MLB,STL,1601
"111819858",673858,"Wong, Jake",R,2022-08-30,2022,A+,SF,1616
"111806596",665621,"Garcia, Rony",R,2022-07-24,2022,MLB,DET,891
"111828573",680093,"Anderson, Luke",R,2022-08-28,2022,A,OAK,1696
"111809025",669323,"Van Buren, Malcolm",R,2022-08-28,2022,A+,ATL,695
"111811518",673380,"Nunez, Dedniel",R,2022-08-31,2022,AA,NYM,435
"111817149",678255,"Paulino, Anderson",R,2022-08-30,2022,A+,KC,959
"111819032",680653,"Roman, Denny",L,2021-06-19,2021,A,PIT,398
"111813631",674555,"Nunez, Kelvin",R,2021-09-17,2021,A,SEA,913
"111798641",656793,"Nelson, Nick",R,2021-10-02,2021,AAA,NYY,954
"111805534",622246,"Derby, Bubba",R,2021-06-23,2021,AAA,MIL,416
"111797411",642563,"Vizcaino, Raffi",R,2021-09-15,2021,AA,SF,741
"111821630",687362,"Gillispie, Connor",R,2021-08-31,2021,A+,BAL,1307
"111781243",656450,"Gatto, Joe",R,2021-06-13,2021,AA,TEX,295
"111822856",668660,"Donovan, Dakota",R,2021-07-28,2021,A,ANA,716
"111792367",623149,"Sewald, Paul",R,2021-10-02,2021,MLB,SEA,1115
"111820982",683232,"Mears, Nick",R,2021-07-13,2021,AAA,PIT,366
"111800964",656451,"Gavin, John",L,2022-08-04,2022,A,SF,194
"111824530",688000,"Smith, Patrick",L,2022-07-10,2022,A+,KC,288
"53789",503285,"O'Day, Darren",R,2022-07-11,2022,MLB,ATL,390
"111825922",686957,"Lockhart, Nick",R,2022-08-28,2022,A,TEX,703
"111828100",692857,"Yanez, Omar",R,2022-08-23,2022,Rk-,STL,450
"111820347",664771,"Matulovich, Joey",R,2022-08-31,2022,A+,MIL,988
