"playerid","ip","name","projyear","percentile","war"
"111807642",14.0820717131474,Gerardo Bojorquez,2023.0,pct50,-0.288173668860342
"111807642",14.9376984126984,Gerardo Bojorquez,2023.0,pct80,-0.0444068842838066
"111809185",17.5505976095618,Jose Natera,2023.0,pct20,-0.553227380366913
"111809185",18.5781496062992,Jose Natera,2023.0,pct50,-0.24132341731823
"111809185",19.843661971831,Jose Natera,2023.0,pct80,0.0416706599828144
"111809237",22.7687374749499,Niomar Gomez,2023.0,pct20,-0.197062841460416
"111809237",24.041235059761,Niomar Gomez,2023.0,pct50,0.123207291035757
"111809237",25.0075697211155,Niomar Gomez,2023.0,pct80,0.403424445235539
"111809300",21.0506382978723,Tulio Santa Maria,2023.0,pct20,-0.476433195652579
"111809300",22.7986512524085,Tulio Santa Maria,2023.0,pct50,-0.116520026610452
"111809300",24.4132,Tulio Santa Maria,2023.0,pct80,0.206752010823656
"111810928",13.8102204408818,Dane Myers,2023.0,pct20,-0.408295795101092
"111810928",14.8375,Dane Myers,2023.0,pct50,-0.142182853174839
"111810928",15.6508982035928,Dane Myers,2023.0,pct80,0.0951935479612113
"111812167",35.0480961923848,Joey Murray,2023.0,pct20,-0.356954881986232
"111812167",36.4695049504951,Joey Murray,2023.0,pct50,0.0183593066008071
"111812167",37.7284584980237,Joey Murray,2023.0,pct80,0.371244431748728
"111815726",23.3546370967742,Eric Pardinho,2023.0,pct20,-0.249872609168541
"111815726",24.5101391650099,Eric Pardinho,2023.0,pct50,0.077085782849954
"111815726",25.6637274549098,Eric Pardinho,2023.0,pct80,0.388517415884658
"111816833",13.45395256917,Dante Mendoza,2023.0,pct20,-0.268156569751259
"4721",10.3051039697543,Brock Holt,2023.0,pct50,0.00460817240041842
"111816833",14.4599601593626,Dante Mendoza,2023.0,pct50,-0.00785002125806877
"111816833",15.2674650698603,Dante Mendoza,2023.0,pct80,0.223186193310075
"111818803",15.5254,Leonardo Pestana,2023.0,pct20,-0.678619148299176
"111818803",16.7881763527054,Leonardo Pestana,2023.0,pct50,-0.377965756798369
"111818803",17.89375,Leonardo Pestana,2023.0,pct80,-0.100811462044138
"111819490",21.8742,Dallas Litscher,2023.0,pct20,-0.187956642353483
"111819490",23.0107142857143,Dallas Litscher,2023.0,pct50,0.131372872540103
"111819490",23.9456913827655,Dallas Litscher,2023.0,pct80,0.417776268386017
"53713",28.1603585657371,Sam Freeman,2023.0,pct20,-0.311865636739319
"53713",29.5214711729622,Sam Freeman,2023.0,pct50,0.0154547924587554
"53713",30.5638,Sam Freeman,2023.0,pct80,0.325420972770882
"109501590",20.0454,Pat Venditte,2023.0,pct20,-0.313182244517486
"109501590",21.1466933867735,Pat Venditte,2023.0,pct50,-0.0128517430627046
"109501590",22.0018036072144,Pat Venditte,2023.0,pct80,0.252998354866271
"110294090",23.9836693548387,Tyler Lyons,2023.0,pct20,-0.315274419194752
"110294090",24.9674650698603,Tyler Lyons,2023.0,pct50,0.00608294719784944
