"PlayerID","DisplayLastFirstName","Org","PlayerRank","YEAR","Bats","Throws","PositionDescription","Age","Source"
111812140,"Weems, Avery",TEX,29,2022,R,L,LHS,25,Fangraphs
111812162,"Stratton, Hunter",PIT,61,2022,R,R,RHR,25,Fangraphs
111812167,"Murray, Joey",TOR,23,2022,L,R,RHS,25,Fangraphs
111812167,"Murray, Joey",TOR,24,2022,L,R,RHS,25,MLBPipeline
111812168,"Butto, Jose",NYM,12,2022,R,R,RHS,24,MLBPipeline
111812168,"Butto, Jose",NYM,16,2022,R,R,RHS,24,Fangraphs
111812168,"Butto, Jose",NYM,9,2022,R,R,RHS,24,BaseballAmerica
111812186,"Ortiz, Robinson",LAD,53,2022,L,L,LHS,22,Fangraphs
111812205,"Cushing, Jr., Jack",OAK,29,2022,R,R,RHP,25,MLBPipeline
111812210,"McIntosh, Paul",MIA,28,2022,R,R,C,24,BaseballAmerica
111812214,"Breaux, Josh",NYY,41,2022,R,R,C,24,Fangraphs
111812214,"Breaux, Josh",NYY,23,2022,R,R,C,24,MLBPipeline
111812225,"Pina, Robinson",LAA,28,2022,R,R,RHS,23,MLBPipeline
111812225,"Pina, Robinson",LAA,34,2022,R,R,RHS,23,Fangraphs
111812278,"Castillo, Starlyn",PHI,42,2022,R,R,RHP,20,Fangraphs
111812289,"Hjelle, Sean",SF,30,2022,R,R,RHS,25,Fangraphs
111812289,"Hjelle, Sean",SF,23,2022,R,R,RHS,25,BaseballAmerica
111812289,"Hjelle, Sean",SF,26,2022,R,R,RHS,25,MLBPipeline
111812293,"Jones, Damon",PHI,27,2022,L,L,LHS,27,MLBPipeline
111812293,"Jones, Damon",PHI,27,2022,L,L,LHS,27,Fangraphs
111812315,"Greene, Riley",DET,1,2022,L,L,CF,21,BaseballAmerica
111812315,"Greene, Riley",DET,2,2022,L,L,CF,21,BaseballProspectus
111812365,"Jones, Greg",TB,4,2022,S,R,SS,24,MLBPipeline
111812365,"Jones, Greg",TB,5,2022,S,R,SS,24,BaseballProspectus
111812365,"Jones, Greg",TB,3,2022,S,R,SS,24,Fangraphs
111812365,"Jones, Greg",TB,14,2022,S,R,SS,24,BaseballAmerica
111812366,"Hurter, Brant",DET,25,2022,L,L,LHP,23,BaseballAmerica
111812366,"Hurter, Brant",DET,28,2022,L,L,LHP,23,MLBPipeline
111812369,"Alexander, Blaze",ARI,12,2022,R,R,SS,23,BaseballAmerica
111812369,"Alexander, Blaze",ARI,44,2022,R,R,SS,23,Fangraphs
111812369,"Alexander, Blaze",ARI,23,2022,R,R,SS,23,MLBPipeline
111812370,"Kelly, Levi",ARI,19,2022,R,R,RHS,23,MLBPipeline
111812370,"Kelly, Levi",ARI,40,2022,R,R,RHS,23,Fangraphs
111812372,"Batten, Matthew",SD,24,2022,R,R,"2B",27,BaseballAmerica
111812372,"Batten, Matthew",SD,25,2022,R,R,"2B",27,MLBPipeline
111812378,"De La Rosa, Jeremy",WSH,13,2022,L,L,RF,20,MLBPipeline
111812378,"De La Rosa, Jeremy",WSH,10,2022,L,L,RF,20,BaseballAmerica
111812378,"De La Rosa, Jeremy",WSH,6,2022,L,L,RF,20,Fangraphs
111812387,"Casas, Triston",BOS,1,2022,L,R,"1B",22,Fangraphs
111812387,"Casas, Triston",BOS,3,2022,L,R,"1B",22,BaseballAmerica
111812387,"Casas, Triston",BOS,3,2022,L,R,"1B",22,BaseballProspectus
111812387,"Casas, Triston",BOS,2,2022,L,R,"1B",22,MLBPipeline
111813401,"Cruz, Steven",MIN,37,2022,R,R,RHR,23,Fangraphs
111813409,"Jackson, Jeremiah",LAA,10,2022,R,R,SS,22,Fangraphs
111813409,"Jackson, Jeremiah",LAA,4,2022,R,R,SS,22,BaseballAmerica
111813409,"Jackson, Jeremiah",LAA,7,2022,R,R,SS,22,MLBPipeline
111813409,"Jackson, Jeremiah",LAA,10,2022,R,R,SS,22,BaseballProspectus
111813424,"Pie, Alejandro",TB,59,2022,S,R,SS,20,Fangraphs
111813430,"Guzman, Alvin",ARI,32,2022,R,R,CF,20,Fangraphs
111813430,"Guzman, Alvin",ARI,28,2022,R,R,CF,20,BaseballAmerica
111813435,"Gomez, Antonio",NYY,9,2022,R,R,C,20,Fangraphs
111813435,"Gomez, Antonio",NYY,18,2022,R,R,C,20,MLBPipeline
111813440,"Gonzalez, Bryan",BOS,59,2022,R,R,RF,20,Fangraphs
111813447,"Gonzalez, Cristian",HOU,22,2022,R,R,SS,20,Fangraphs
111813447,"Gonzalez, Cristian",HOU,23,2022,R,R,SS,20,BaseballAmerica
111813447,"Gonzalez, Cristian",HOU,11,2022,R,R,SS,20,MLBPipeline
111813457,"Frias, Dayan",CLE,18,2022,R,R,"2B",20,Fangraphs
111813463,"Cartaya, Diego",LAD,1,2022,R,R,C,20,Fangraphs
111813463,"Cartaya, Diego",LAD,1,2022,R,R,C,20,BaseballAmerica
111813463,"Cartaya, Diego",LAD,1,2022,R,R,C,20,MLBPipeline
111813463,"Cartaya, Diego",LAD,2,2022,R,R,C,20,BaseballProspectus
111813467,"Garcia, Eduardo",MIL,12,2022,R,R,SS,20,MLBPipeline
111813467,"Garcia, Eduardo",MIL,14,2022,R,R,SS,20,BaseballAmerica
111813467,"Garcia, Eduardo",MIL,18,2022,R,R,SS,20,Fangraphs
111813468,"Lopez, Eduardo",BOS,34,2022,S,R,CF,20,Fangraphs
111813470,"Fernandez, Eduarqui",MIL,35,2022,R,R,CF,20,Fangraphs
111813474,"Alvarez, Francisco",NYM,1,2022,R,R,C,20,BaseballAmerica
111813474,"Alvarez, Francisco",NYM,1,2022,R,R,C,20,Fangraphs
111813474,"Alvarez, Francisco",NYM,1,2022,R,R,C,20,MLBPipeline
111813474,"Alvarez, Francisco",NYM,1,2022,R,R,C,20,BaseballProspectus
111813480,"Rodriguez, Gabriel",CLE,27,2022,R,R,SS,20,MLBPipeline
