"ID","NAME","LVL","YEAR","ORGS","G","GS","IP","ERA","WOBA","FIP","BABIP","LD_RATE","GB_RATE","FB_RATE","HR_FB","BB_RATE","SO_RATE","NITRORATE","SWM","CHASERATE","EV_70"
111808356,"Menez, Conner",MLB,2022,CHC,1,0,1.0,0.0,0.32762,4.211,0.333333,0.666667,0.333333,0.0,,0.0,0.2,0.000,0.000,11.100,76.45841276431088
111800277,"Davis, Austin",A,2021,PIT,2,0,3.0,3.0,0.2754909091,0.77,0.5,0.0,0.75,0.0,0.0,0.090909,0.545455,0.000,56.300,26.100,86.98185675007898
111806321,"Warren, Art",AAA,2021,CIN,15,0,16.0,5.06,0.3114450704,1.131,0.472222,0.368421,0.447368,0.131579,0.166667,0.069444,0.416667,13.500,44.200,32.800,92.13021979999998
111819477,"Hill, Garrett",AA,2021,DET,4,4,19.2,3.2,0.2805987952,3.008,0.318182,0.106383,0.553191,0.276596,0.071429,0.119048,0.333333,11.100,23.400,33.000,89.355266
111829040,"Uzcategui, Raimund",Rk-,2021,TB,13,0,20.2,5.23,0.3994395604,6.694,0.258065,0.171875,0.484375,0.28125,0.181818,0.142857,0.120879,6.200,20.900,25.800,86.669794
632,"Robertson, David",MLB,2022,CHC,36,0,40.1,2.23,0.2591921212,3.608,0.215909,0.204301,0.473118,0.268817,0.137931,0.115152,0.309091,12.900,30.700,26.700,89.66390088173087
125,"Miller, Andrew",MLB,2021,STL,40,0,36.0,4.75,0.3777503106,4.373,0.367347,0.2,0.438095,0.304762,0.138889,0.097561,0.243902,19.800,26.900,23.400,91.8763270196483
111818829,"Marquez, Emilio",A+,2022,KC,24,0,56.1,2.88,0.278158371,3.781,0.245902,0.159091,0.287879,0.431818,0.125,0.067873,0.334842,16.500,35.000,31.200,87.86047300000001
110295118,"Greene, Shane",AAA,2021,ATL,4,0,4.1,2.08,0.3044166667,2.396,0.333333,0.142857,0.571429,0.142857,0.0,0.105263,0.263158,8.300,25.000,35.500,88.79823999999999
111812117,"Abril, Juan",Rk,2021,CIN,8,0,15.0,4.2,0.289921875,4.539,0.212121,0.08,0.36,0.48,0.071429,0.1875,0.28125,12.000,39.700,15.300,89.15148500000001
110691800,"Treinen, Blake",MLB,2021,LA,72,0,72.1,1.99,0.2373392982,2.791,0.244048,0.166667,0.522989,0.195402,0.09434,0.087413,0.297203,12.700,27.500,33.500,87.97896719918815
111829713,"Talavera, Emerson",Rk,2022,CWS,17,0,26.0,2.77,0.2706848485,2.314,0.267857,0.115385,0.346154,0.25,0.125,0.039216,0.352941,5.900,42.300,39.600,87.3223251
111831822,"Flores, Junior",Rk-,2022,SF,10,0,9.2,0.0,0.212525641,0.928,0.238095,0.363636,0.454545,0.181818,0.0,0.102564,0.358974,0.000,42.900,23.500,90.44502
111831074,"Palmer, Trent",A+,2022,TOR,6,6,23.2,4.18,0.37026875,4.749,0.383333,0.212121,0.424242,0.257576,0.217391,0.071429,0.321429,16.900,32.500,25.900,91.08069400000001
111826283,"De Jesus, Antonio",Rk-,2021,LA,12,1,8.1,8.64,0.5014769231,8.731,0.35,0.210526,0.421053,0.210526,0.0,0.423077,0.192308,21.100,33.300,25.500,93.41246500000001
111817028,"Cobos, Franny",A+,2022,HOU,11,1,23.1,8.1,0.4151141509,6.511,0.349206,0.188406,0.434783,0.304348,0.2,0.146789,0.211009,13.200,27.600,30.000,86.29668539999997
111807665,"Thompson, Tyree",A+,2022,TEX,13,0,17.0,6.88,0.376175,5.228,0.345455,0.193548,0.387097,0.322581,0.076923,0.116279,0.186047,13.200,23.400,24.200,90.27384930000001
111824463,"Williams, Case",A,2021,CIN,12,11,47.0,5.74,0.3913099548,6.748,0.269504,0.243243,0.337838,0.317568,0.112903,0.149321,0.153846,17.600,23.400,23.200,91.05507064323041
